"product","sub_product","q1","q2","q3","q4"
"Checking or savings account","CD (Certificate of Deposit)","291","246","218","241"
"Checking or savings account","Checking account","12186","9080","10031","8230"
"Checking or savings account","Other banking product or service","968","974","1027","877"
"Checking or savings account","Savings account","1195","1144","1132","906"
"Credit card","General-purpose credit card or charge card","0","0","5476","12989"
"Credit card","Store credit card","0","0","658","1465"
"Credit card or prepaid card","General-purpose credit card or charge card","10272","10351","8336","0"
"Credit card or prepaid card","General-purpose prepaid card","541","584","334","0"
"Credit card or prepaid card","Gift card","106","92","72","0"
"Credit card or prepaid card","Government benefit card","318","329","223","0"
"Credit card or prepaid card","Payroll card","69","55","42","0"
"Credit card or prepaid card","Store credit card","1539","1267","776","0"
"Credit card or prepaid card","Student prepaid card","3","1","2","0"
"Credit reporting, credit repair services, or other personal consumer reports","Credit repair services","433","504","387","0"
"Credit reporting, credit repair services, or other personal consumer reports","Credit reporting","226765","250668","163297","0"
"Credit reporting, credit repair services, or other personal consumer reports","Other personal consumer report","1128","1002","655","0"
"Credit reporting or other personal consumer reports","Credit reporting","0","0","112549","277726"
"Credit reporting or other personal consumer reports","Other personal consumer report","0","0","720","1618"
"Debt collection","Auto debt","803","835","779","777"
"Debt collection","Credit card debt","3605","3928","4015","3618"
"Debt collection","Federal student loan debt","98","82","109","126"
"Debt collection","I do not know","4598","4347","4325","4559"
"Debt collection","Medical debt","2483","1804","1691","1307"
"Debt collection","Mortgage debt","210","238","174","197"
"Debt collection","Other debt","5145","5280","3928","2175"
"Debt collection","Payday loan debt","372","371","351","314"
"Debt collection","Private student loan debt","115","105","115","110"
"Debt collection","Rental debt","0","0","505","1136"
"Debt collection","Telecommunications debt","0","0","573","1216"
"Debt or credit management","Credit repair services","0","0","56","101"
"Debt or credit management","Debt settlement","0","0","63","184"
"Debt or credit management","Mortgage modification or foreclosure avoidance","0","0","19","15"
"Debt or credit management","Student loan debt relief","0","0","4","9"
"Money transfer, virtual currency, or money service","Check cashing service","102","84","76","70"
"Money transfer, virtual currency, or money service","Debt settlement","65","60","38","0"
"Money transfer, virtual currency, or money service","Domestic (US) money transfer","1001","849","831","862"
"Money transfer, virtual currency, or money service","Foreign currency exchange","46","35","48","46"
"Money transfer, virtual currency, or money service","International money transfer","443","414","443","404"
"Money transfer, virtual currency, or money service","Mobile or digital wallet","1207","1278","1275","1234"
"Money transfer, virtual currency, or money service","Money order","42","45","26","0"
"Money transfer, virtual currency, or money service","Money order, traveler's check or cashier's check","0","0","56","125"
"Money transfer, virtual currency, or money service","Refund anticipation check","53","59","28","0"
"Money transfer, virtual currency, or money service","Traveler's check or cashier's check","73","72","45","0"
"Money transfer, virtual currency, or money service","Virtual currency","440","411","480","480"
"Mortgage","Conventional home mortgage","4188","3086","2942","2819"
"Mortgage","FHA mortgage","1503","965","934","948"
"Mortgage","Home equity loan or line of credit (HELOC)","385","304","381","346"
"Mortgage","Manufactured home loan","0","0","15","37"
"Mortgage","Other type of mortgage","365","315","258","108"
"Mortgage","Reverse mortgage","111","93","89","63"
"Mortgage","USDA mortgage","0","0","20","39"
"Mortgage","VA mortgage","629","485","472","450"
"Payday loan, title loan, or personal loan","Installment loan","867","818","510","0"
"Payday loan, title loan, or personal loan","Pawn loan","8","6","10","0"
"Payday loan, title loan, or personal loan","Payday loan","283","282","231","0"
"Payday loan, title loan, or personal loan","Personal line of credit","483","454","283","0"
"Payday loan, title loan, or personal loan","Title loan","129","217","103","0"
"Payday loan, title loan, personal loan, or advance loan","Earned wage access","0","0","4","11"
"Payday loan, title loan, personal loan, or advance loan","Installment loan","0","0","378","772"
"Payday loan, title loan, personal loan, or advance loan","Other advances of future income","0","0","10","28"
"Payday loan, title loan, personal loan, or advance loan","Pawn loan","0","0","3","2"
"Payday loan, title loan, personal loan, or advance loan","Payday loan","0","0","115","268"
"Payday loan, title loan, personal loan, or advance loan","Personal line of credit","0","0","166","405"
"Payday loan, title loan, personal loan, or advance loan","Tax refund anticipation loan or check","0","0","1","2"
"Payday loan, title loan, personal loan, or advance loan","Title loan","0","0","65","153"
"Prepaid card","General-purpose prepaid card","0","0","297","772"
"Prepaid card","Gift card","0","0","74","228"
"Prepaid card","Government benefit card","0","0","161","327"
"Prepaid card","Payroll card","0","0","22","76"
"Prepaid card","Student prepaid card","0","0","0","7"
"Student loan","Federal student loan servicing","1202","828","2230","4065"
"Student loan","Private student loan","421","376","533","406"
"Vehicle loan or lease","Lease","384","388","416","340"
"Vehicle loan or lease","Loan","3463","2533","2691","2314"
